name,num_files,bytes,separate_run_millis
ForwardHost,1,2197,2765
def,1,696,854
NestedTryCatchFinally,1,458,722
CatchTypesSubtypeBad,1,303,631
SummationKernel1,1,2368,2957
FloatDomain,1,1457,394
vector-add,1,1313,1674
OnlyThrows,1,243,597
SwapLong,1,799,874
ArrayValues,1,1230,1864
PrefixSumDataRaceFree,1,3773,3207
KeYAbruptTerminationChallengeSilicon,1,1717,948
RemoveValues,1,844,1270
LFQatomicsImplementation,1,6373,1220
KeYAbruptTerminationChallengeCarbon,1,1550,924
ParallelGCD,1,2544,2426
LoopInvBoogie,1,924,714
ArrayGetList,1,1319,1718
TreeWandSilverE2,1,4288,1100
backward-dep-err1,1,880,1281
TreeRecursive,1,1159,852
TreeWandSilverE1,1,4288,1138
VerifyThis19Three,1,8745,4909
SESLockWitnesses,1,3888,1145
TreeWandSilver,1,4317,1067
ThrowIntBad,1,160,617
ForwardDep,1,1254,1341
Demo3AFuncWithLemmas,1,6568,3032
IncrThread-E1,3,1794,882
PredicatesAndWitnesses,1,1455,1809
ForkPVL,1,609,934
NestedLoops,1,586,912
InductionProblem,1,272,946
NoSendAfterRead,1,3057,1109
IncrThread-E2,3,1752,793
ListAppendASyncDef,1,1547,935
basic-examples-c,1,6219,1843
AmbiguousBooleanOperators,1,266,701
WandDemo,1,1437,858
DifferentClassesDifferentTypes1,1,392,706
UpdatePoint,1,1017,1434
DifferentClassesDifferentTypes2,1,292,659
OnlyPredicate,1,108,660
BlockParallellism,1,391,1245
MonotonicBool,1,2861,2244
WhileFinally,1,686,702
ParallelVectorAdd2,1,1138,1872
IncrSilicon,1,970,842
MainPVL,2,639,1044
ParallelVectorAdd1,1,838,1545
OnlyClass,1,124,564
SequenceUpdating,1,370,1345
SignalsThrowNoThrows,1,1006,853
ParNestedInvariantWrite,1,367,917
SubSet,1,509,1703
Parameters2,2,808,1387
ContinueBreak,1,440,701
ColoredTiles,1,9040,6462
abc,1,948,857
ExceptionsAndAbrupt.java,1,1461,804
Getters,1,1653,913
Java6LockImplementation,1,5613,1210
