name,num_files,bytes,separate_run_millis
ForwardHost,1,2197,2344
def,1,696,853
NestedTryCatchFinally,1,458,703
CatchTypesSubtypeBad,1,303,644
SummationKernel1,1,2368,3012
FloatDomain,1,1457,411
vector-add,1,1313,1872
OnlyThrows,1,243,622
SwapLong,1,799,751
ArrayValues,1,1230,1907
PrefixSumDataRaceFree,1,3773,2899
KeYAbruptTerminationChallengeSilicon,1,1717,964
RemoveValues,1,844,1294
LFQatomicsImplementation,1,6373,1187
KeYAbruptTerminationChallengeCarbon,1,1550,943
ParallelGCD,1,2544,2234
LoopInvBoogie,1,924,867
ArrayGetList,1,1319,1755
TreeWandSilverE2,1,4288,1034
backward-dep-err1,1,880,1255
TreeRecursive,1,1159,853
TreeWandSilverE1,1,4288,1040
VerifyThis19Three,1,8745,5524
SESLockWitnesses,1,3888,698
TreeWandSilver,1,4317,969
ThrowIntBad,1,160,606
ForwardDep,1,1254,1298
Demo3AFuncWithLemmas,1,6568,3227
IncrThread-E1,3,1794,925
PredicatesAndWitnesses,1,1455,1427
ForkPVL,1,609,900
NestedLoops,1,586,906
InductionProblem,1,272,901
NoSendAfterRead,1,3057,1067
IncrThread-E2,3,1752,842
ListAppendASyncDef,1,1547,955
basic-examples-c,1,6219,1918
AmbiguousBooleanOperators,1,266,719
WandDemo,1,1437,813
DifferentClassesDifferentTypes1,1,392,780
UpdatePoint,1,1017,1304
DifferentClassesDifferentTypes2,1,292,681
OnlyPredicate,1,108,654
BlockParallellism,1,391,1151
MonotonicBool,1,2861,2303
WhileFinally,1,686,807
ParallelVectorAdd2,1,1138,1991
IncrSilicon,1,970,776
MainPVL,2,639,1066
ParallelVectorAdd1,1,838,1782
OnlyClass,1,124,579
SequenceUpdating,1,370,1290
SignalsThrowNoThrows,1,1006,915
ParNestedInvariantWrite,1,367,876
SubSet,1,509,1969
Parameters2,2,808,1321
ContinueBreak,1,440,731
ColoredTiles,1,9040,6468
abc,1,948,836
ExceptionsAndAbrupt.java,1,1461,810
Getters,1,1653,957
Java6LockImplementation,1,5613,1124
ReentLockWitnesses,1,5802,745
Parameters1,2,762,1287
KeywordsDisallowCInline,1,119,659
BadCustomException,1,212,599
WhileBreakFinally,1,259,650
DoubleNestedFinally.java,1,464,755
ReturnNull,1,182,641
simpleExamples,1,324,741
ForPVL,1,377,935
Yield,1,194,644
CastExamplePVL,1,196,698
UnequalCounting,1,1274,1798
MaxSort,1,3552,2499
BadTypeJava,1,224,759
RW2,1,586,1142
RW1,1,464,740
RW4,1,562,1122
SummationKernel,1,1303,2690
RW3,1,547,883
RW6,1,567,1144
RW5,1,680,1448
ParallelVectorExample1,1,522,1401
RW7,1,790,1948
